#At time x allocated y bytes for process z from i to j 
At time 2 allocated 200 bytes for process 1 from 0 to 200 
At time 2 allocated 200 bytes for process 1 from 0 to 200 
At time 6 allocated 160 bytes for process 2 from 200 to 360 
At time 6 allocated 160 bytes for process 2 from 200 to 360 
At time 11 allocated 70 bytes for process 3 from 360 to 430 
At time 11 allocated 70 bytes for process 3 from 360 to 430 
At time 16 allocated 220 bytes for process 4 from 430 to 650 
At time 16 allocated 220 bytes for process 4 from 430 to 650 
At time 29 freed 200 bytes for process 1 from 0 to 200 
At time 34 freed 160 bytes for process 2 from 200 to 360 
At time 39 freed 220 bytes for process 4 from 430 to 650 
At time 44 allocated 400 bytes for process 5 from 430 to 830 
At time 44 allocated 400 bytes for process 5 from 430 to 830 
At time 44 allocated 330 bytes for process 6 from 0 to 330 
At time 44 allocated 330 bytes for process 6 from 0 to 330 
At time 48 freed 70 bytes for process 3 from 360 to 430 
At time 49 freed 400 bytes for process 5 from 430 to 830 
At time 49 allocated 210 bytes for process 7 from 330 to 540 
At time 49 allocated 210 bytes for process 7 from 330 to 540 
At time 49 allocated 300 bytes for process 9 from 540 to 840 
At time 49 allocated 300 bytes for process 9 from 540 to 840 
At time 50 freed 300 bytes for process 9 from 540 to 840 
At time 50 allocated 440 bytes for process 8 from 540 to 980 
At time 50 allocated 440 bytes for process 8 from 540 to 980 
At time 52 freed 210 bytes for process 7 from 330 to 540 
At time 54 freed 330 bytes for process 6 from 0 to 330 
At time 56 freed 440 bytes for process 8 from 540 to 980 
