#At time x process y state arr w total z remaing y wait k 
At time 5 process 1 started arr 5 total 19 remain 19 wait 0 
At time 9 process 1 stopped arr 5 total 19 remain 15 wait 0 
At time 9 process 1 resumed arr 5 total 19 remain 15 wait 0 
At time 13 process 1 stopped arr 5 total 19 remain 11 wait 0 
At time 13 process 1 resumed arr 5 total 19 remain 11 wait 0 
At time 24 process 1 finished arr 5 total 19 remain 11 wait 0 
At time 24 process 2 started arr 15 total 29 remain 29 wait 8 
At time 24 process 2 started arr 15 total 29 remain 29 wait 8 
At time 28 process 2 stopped arr 15 total 29 remain 25 wait 8 
At time 28 process 3 started arr 16 total 1 remain 1 wait 11 
At time 28 process 3 started arr 16 total 1 remain 1 wait 11 
At time 29 process 3 finished arr 16 total 1 remain 1 wait 12 
At time 29 process 4 started arr 17 total 27 remain 27 wait 11 
At time 29 process 4 started arr 17 total 27 remain 27 wait 11 
At time 33 process 4 stopped arr 17 total 27 remain 23 wait 15 
At time 33 process 5 started arr 19 total 8 remain 8 wait 14 
At time 33 process 5 started arr 19 total 8 remain 8 wait 14 
At time 37 process 5 stopped arr 19 total 8 remain 4 wait 18 
At time 37 process 6 started arr 25 total 1 remain 1 wait 12 
At time 37 process 6 started arr 25 total 1 remain 1 wait 12 
At time 38 process 6 finished arr 25 total 1 remain 1 wait 13 
At time 38 process 2 resumed arr 15 total 29 remain 25 wait 8 
At time 42 process 2 stopped arr 15 total 29 remain 21 wait 8 
At time 42 process 4 resumed arr 17 total 27 remain 23 wait 24 
At time 46 process 4 stopped arr 17 total 27 remain 19 wait 28 
At time 46 process 5 resumed arr 19 total 8 remain 4 wait 27 
At time 50 process 5 finished arr 19 total 8 remain 4 wait 31 
At time 50 process 2 resumed arr 15 total 29 remain 21 wait 8 
At time 54 process 2 stopped arr 15 total 29 remain 17 wait 8 
At time 54 process 4 resumed arr 17 total 27 remain 19 wait 36 
At time 58 process 4 stopped arr 17 total 27 remain 15 wait 40 
At time 58 process 2 resumed arr 15 total 29 remain 17 wait 8 
At time 62 process 2 stopped arr 15 total 29 remain 13 wait 8 
At time 62 process 4 resumed arr 17 total 27 remain 15 wait 44 
At time 66 process 4 stopped arr 17 total 27 remain 11 wait 48 
At time 66 process 2 resumed arr 15 total 29 remain 13 wait 8 
At time 70 process 2 stopped arr 15 total 29 remain 9 wait 8 
At time 70 process 4 resumed arr 17 total 27 remain 11 wait 52 
At time 74 process 4 stopped arr 17 total 27 remain 7 wait 56 
At time 74 process 2 resumed arr 15 total 29 remain 9 wait 8 
At time 78 process 2 stopped arr 15 total 29 remain 5 wait 8 
At time 78 process 4 resumed arr 17 total 27 remain 7 wait 60 
At time 82 process 4 stopped arr 17 total 27 remain 3 wait 64 
At time 82 process 2 resumed arr 15 total 29 remain 5 wait 8 
At time 86 process 2 stopped arr 15 total 29 remain 1 wait 8 
At time 86 process 4 resumed arr 17 total 27 remain 3 wait 68 
At time 89 process 4 finished arr 17 total 27 remain 3 wait 71 
At time 89 process 2 resumed arr 15 total 29 remain 1 wait 8 
At time 90 process 2 finished arr 15 total 29 remain 1 wait 8 
